order_id,customer_id,customer_name,product_id,product_name,product_category,country,payment_type,city,qty,price,ecommerce_website_name,payment_txn_id,payment_txn_success,failure_reason,datetime
37,90,Noah,79,Encyclopedia,books,India,PayPal,New Delhi,2,9.0,Ali Express,10037,Y,N/A,2021-10-30 13:52:33
38,25,Zach,38,Sportswear,clothing,India,Debit Card,Mumbai,4,12.0,Ali Express,10038,Y,N/A,2023-05-13 09:53:15
39,8,Irene,48,Coffee Maker,home appliances,India,Debit Card,Mumbai,1,11.25,Ali Express,10039,N,Network Issue,2020-07-16 11:13:57
40,8,Irene,6,Wireless Earbuds,electronics,India,Debit Card,Mumbai,1,75.0,Ebay,10040,Y,N/A,2023-11-28 10:51:17
41,84,Hugo,10,Power Bank,electronics,Germany,Debit Card,Hamburg,3,300.0,Ebay,10041,Y,N/A,2024-10-24 05:25:08
42,56,Ethan,69,History Book,books,UK,Debit Card,Manchester,4,76.0,Ebay,10042,Y,N/A,2021-09-02 00:43:17
43,5,Fiona,32,Hat,clothing,USA,Credit Card,New York,4,80.0,Amazon,10043,Y,N/A,2022-01-06 16:06:21
44,81,Eliza,65,Self-Help Book,books,UK,Cryptocurrency,London,5,240.0,Argos,10044,Y,N/A,2024-08-04 00:14:01
45,13,Noah,20,T-Shirt,clothing,USA,Credit Card,LA,1,28.0,Amazon,10045,N,Insufficient Funds,2024-01-03 18:22:27
46,2,Charlie,80,Soccer Ball,sports,USA,Credit Card,LA,2,68.0,Amazon,10046,Y,N/A,2022-03-25 19:58:20
47,28,!@$@,29,...,Null,India,PayPal,Null,,,Ali Express,10047,N,Insufficient Funds,2020-01-18 12:19:55
48,20,Uma,16,Mouse,electronics,USA,Credit Card,LA,13,780.0,Amazon,10048,N,Insufficient Funds,2022-06-26 20:41:39
49,89,Melissa,11,Smart Speaker,electronics,USA,Credit Card,LA,12,3600.0,Amazon,10049,Y,N/A,2024-02-10 17:47:21
50,63,Null,53,-1,-1,USA,Credit Card,-1,,,Amazon,10050,Y,N/A,2021-01-13 00:59:12
51,21,Victor,82,Tennis Racket,sports,India,PayPal,New Delhi,3,29.25,Ali Express,10051,N,Network Issue,2022-09-15 21:40:43
52,96,-1,37,Null,-1,USA,Debit Card,...,,,Ebay,10052,N,Incufficient Funds,2024-02-19 17:12:49
53,52,Adam,40,Refrigerator,home appliances,USA,Debit Card,New York,4,2000.0,Amazon,10053,Y,N/A,2020-02-03 16:01:48
54,13,Noah,34,Scarf,clothing,USA,Credit Card,LA,8,240.0,Amazon,10054,Y,N/A,2022-08-16 02:17:02
55,94,Rose,61,Science Fiction,books,USA,Credit Card,LA,5,95.0,Amazon,10055,Y,N/A,2023-03-18 18:04:08
56,21,Victor,82,Tennis Racket,sports,USA,Debit Card,New York,6,234.0,Ebay,10056,Y,N/A,2020-09-01 18:01:51
57,35,Jacob,79,Encyclopedia,books,UK,Debit Card,Manchester,2,36.0,Ebay,10057,Y,N/A,2023-02-18 03:36:01
58,67,Paige,36,Tie,clothing,India,PayPal,New Delhi,1,6.25,Ali Express,10058,Y,N/A,2022-08-28 09:35:43
59,34,Isabelle,13,Monitor,electronics,USA,Credit Card,LA,10,2500.0,Amazon,10059,N,Card Expired,2023-04-02 16:01:33
60,89,Melissa,5,Bluetooth Headphones,electronics,USA,Credit Card,LA,14,2996.0,Amazon,10060,Y,N/A,2021-09-11 21:48:30
61,72,Veronica,86,Hockey Stick,sports,USA,Credit Card,LA,12,192.0,Amazon,10061,Y,N/A,2020-04-25 16:46:33
62,84,Hugo,83,Badminton Racket,sports,India,PayPal,New Delhi,3,30.75,Ali Express,10062,Y,N/A,2020-12-09 12:04:42
63,1,Bob,13,Monitor,electronics,UK,Cryptocurrency,London,3,750.0,Argos,10063,Y,N/A,2023-01-26 00:46:34
64,21,Victor,9,Action Camera,electronics,India,PayPal,New Delhi,1,50.0,Ali Express,10064,Y,N/A,2022-03-20 09:35:22
65,39,Nathan,85,Baseball Glove,sports,India,PayPal,New Delhi,1,10.5,Ali Express,10065,N,Network error,2021-06-22 00:05:25
66,46,Ulrich,18,Printer,electronics,USA,Debit Card,New York,8,2400.0,Ebay,10066,Y,N/A,2024-01-21 07:56:14
67,35,None,49,-1,!@$@,USA,Credit Card,"",,,Amazon,10067,Y,N/A,2020-01-16 18:22:46
68,1,Bob,83,Badminton Racket,sports,UK,Debit Card,Manchester,2,82.0,Argos,10068,Y,N/A,2021-02-14 00:10:43
69,85,Isla,30,Tracksuit,clothing,UK,Cryptocurrency,London,4,320.0,Argos,10069,Y,N/A,2022-06-30 03:28:47
70,90,Noah,3,Desktop PC,electronics,Germany,Debit Card,Hamburg,4,3200.0,Ebay,10070,Y,N/A,2024-12-17 03:17:32
71,40,Ophelia,22,Hoodie,clothing,USA,Credit Card,LA,6,138.0,Amazon,10071,Y,N/A,2020-09-05 18:52:50
72,2,Charlie,62,Mystery Book,books,India,PayPal,Mumbai,1,8.25,Ali Express,10072,N,Insufficient Funds,2022-05-13 10:13:46
73,3,Daisy,13,Monitor,electronics,USA,Credit Card,LA,5,1250.0,Amazon,10073,N,Card Expired,2020-01-25 17:22:39
74,7,Henry,60,Fiction Novel,books,India,PayPal,Mumbai,3,12.0,Ali Express,10074,Y,N/A,2021-12-03 09:08:50
75,43,Ruby,79,Encyclopedia,books,UK,Cryptocurrency,London,5,90.0,Argos,10075,Y,N/A,2021-04-01 02:09:01
76,13,Noah,59,Food Processor,home appliances,USA,Credit Card,LA,14,2940.0,Amazon,10076,N,Insufficient Funds,2023-10-15 17:56:56
77,24,Yara,41,Washing Machine,home appliances,India,Debit Card,Mumbai,4,400.0,Ali Express,10077,Y,N/A,2023-08-05 09:29:28
78,66,Owen,57,Iron,home appliances,UK,Cryptocurrency,London,3,390.0,Argos,10078,Y,N/A,2024-11-06 02:20:24
79,95,Simon,87,Table Tennis Paddle,sports,USA,Debit Card,New York,14,952.0,Ebay,10079,Y,N/A,2021-02-24 17:04:40
80,22,Wendy,19,Drone,electronics,USA,Credit Card,LA,8,2528.0,Amazon,10080,N,Card Expired,2023-05-21 17:42:46
81,12,Mia,29,Sweater,clothing,India,Debit Card,Mumbai,4,37.0,Ali Express,10081,Y,N/A,2021-12-26 12:00:59
82,57,Felicity,74,Philosophy Book,books,USA,Credit Card,LA,5,185.0,Amazon,10082,Y,N/A,2022-06-24 16:33:25
83,6,Grace,36,Tie,clothing,UK,Debit Card,Manchester,5,125.0,Ali Express,10083,Y,N/A,2024-12-04 01:55:55
84,75,Yasmine,12,Router,electronics,Germany,Debit Card,Berlin,2,200.0,Ebay,10084,Y,N/A,2020-10-07 03:29:01
85,66,Owen,27,Blouse,clothing,UK,Debit Card,Manchester,2,50.0,Ali Express,10085,Y,N/A,2020-04-03 01:09:18
86,8,Irene,16,Mouse,electronics,India,PayPal,New Delhi,4,60.0,Ali Express,10086,Y,N/A,2023-07-29 12:14:34
87,89,Melissa,54,Mixer Grinder,home appliances,UK,Debit Card,Manchester,3,300.0,Ali Express,10087,Y,N/A,2022-11-27 00:27:26
88,89,Melissa,2,Tablet,electronics,UK,Cryptocurrency,London,4,2200.0,Argos,10088,Y,N/A,2023-03-03 01:54:27
89,70,Thomas,9,Action Camera,electronics,USA,Debit Card,New York,3,600.0,Ebay,10089,Y,N/A,2021-02-10 18:11:01
90,6,Grace,64,Biography,books,UK,Debit Card,Manchester,2,24.0,Argos,10090,Y,N/A,2021-11-19 18:37:21
91,6,Grace,73,Poetry Book,books,India,PayPal,Mumbai,1,9.75,Ali Express,10091,N,Network error,2022-05-14 10:13:43
92,88,Liam,38,Sportswear,clothing,India,Debit Card,Mumbai,3,9.0,Ali Express,10092,N,Card Expired,2024-10-22 11:38:17
93,77,Abigail,15,Keyboard,electronics,UK,Cryptocurrency,Manchester,3,270.0,Argos,10093,Y,N/A,2022-06-25 02:01:03
94,86,Jason,76,Business Book,books,UK,Debit Card,Manchester,4,380.0,Argos,10094,Y,N/A,2024-03-07 03:24:00
95,75,Yasmine,54,Mixer Grinder,home appliances,India,PayPal,New Delhi,1,25.0,Ali Express,10095,Y,N/A,2022-03-13 09:49:06
96,96,Taylor,54,Mixer Grinder,home appliances,UK,Debit Card,Manchester,5,500.0,Ebay,10096,Y,N/A,2020-12-03 02:10:16
97,68,Riley,70,Cookbook,books,India,PayPal,New Delhi,3,12.75,Ali Express,10097,Y,N/A,2021-12-10 10:22:20
98,7,Henry,29,Sweater,clothing,UK,Debit Card,Manchester,3,111.0,Ali Express,10098,Y,N/A,2021-09-23 00:42:53
99,69,Sarah,10,Power Bank,electronics,USA,Debit Card,New York,8,800.0,Ebay,10099,Y,N/A,2024-08-01 16:00:59
100,57,Felicity,38,Sportswear,clothing,USA,Debit Card,New York,5,60.0,Ebay,10100,Y,N/A,2021-02-23 17:08:06
101,13,Noah,82,Tennis Racket,sports,India,Debit Card,Mumbai,4,39.0,Ali Express,10101,Y,N/A,2020-03-07 09:39:34
102,14,Olivia,8,Digital Camera,electronics,UK,Debit Card,Manchester,4,1200.0,Argos,10102,Y,N/A,2024-06-03 00:23:44
103,23,Xavier,47,Electric Kettle,home appliances,India,PayPal,New Delhi,3,50.25,Ali Express,10103,Y,N/A,2021-09-01 11:40:00
104,74,Xavier,52,Water Heater,home appliances,India,Debit Card,Mumbai,1,77.25,Ali Express,10104,Y,N/A,2021-02-21 12:12:44
105,16,Quinn,79,Encyclopedia,books,USA,Credit Card,LA,11,198.0,Amazon,10105,Y,N/A,2020-04-26 17:43:27
106,3,Daisy,24,Formal Shirt,clothing,USA,Debit Card,New York,2,258.0,Amazon,10106,Y,N/A,2023-03-21 16:08:31
107,17,Rachel,55,Air Purifier,home appliances,USA,Debit Card,New York,6,918.0,Amazon,10107,N,Insufficient Funds,2021-05-04 19:03:30
108,42,Quinn,30,Tracksuit,clothing,UK,Debit Card,Manchester,3,240.0,Argos,10108,Y,N/A,2021-08-23 02:02:35
109,61,Jenna,59,Food Processor,home appliances,USA,Credit Card,LA,2,420.0,Amazon,10109,N,Incufficient Funds,2020-05-11 19:37:20
110,38,-1,45,None,_-,India,PayPal,Null,,,Ali Express,10110,Y,N/A,2024-03-31 09:06:06
111,99,Whitney,65,Self-Help Book,books,UK,Cryptocurrency,London,2,96.0,Argos,10111,Y,N/A,2020-01-14 03:55:58
112,78,Brandon,78,DIY Guide,books,UK,Debit Card,Manchester,5,90.0,Argos,10112,Y,N/A,2024-10-10 00:59:57
113,76,...,40,Null,"",India,PayPal,Null,,,Ali Express,10113,N,Network error,2022-05-14 10:24:15
114,9,Jack,65,Self-Help Book,books,India,Debit Card,Mumbai,1,12.0,Ebay,10114,Y,N/A,2020-02-28 09:27:53
115,54,Caleb,84,Cricket Bat,sports,UK,Debit Card,Manchester,2,70.0,Argos,10115,Y,N/A,2021-11-25 00:29:53
116,19,Tina,53,Induction Cooktop,home appliances,USA,Credit Card,LA,14,2688.0,Amazon,10116,Y,N/A,2023-11-13 17:30:13
117,37,Lucas,75,Psychology Book,books,USA,Credit Card,LA,10,350.0,Amazon,10117,Y,N/A,2020-08-08 16:26:36
118,91,Olivia,54,Mixer Grinder,home appliances,USA,Debit Card,New York,4,400.0,Amazon,10118,N,Card Expired,2020-07-11 16:32:06
119,79,Clara,62,Mystery Book,books,UK,Cryptocurrency,London,5,165.0,Argos,10119,Y,N/A,2020-03-12 01:25:23
120,57,Felicity,82,Tennis Racket,sports,UK,Cryptocurrency,London,1,39.0,Argos,10120,Y,N/A,2020-10-02 01:03:11
121,45,"",27,Null,None,USA,Credit Card,-1,,,Amazon,10121,N,Incufficient Funds,2022-01-03 19:37:51
122,13,Noah,35,Suit,clothing,UK,Cryptocurrency,London,2,436.0,Argos,10122,Y,N/A,2024-12-28 04:50:27
123,34,Isabelle,17,Graphics Card,electronics,USA,Debit Card,New York,6,1680.0,Ali Express,10123,N,Network Issue,2023-09-07 19:32:22
124,24,Yara,28,Shorts,clothing,India,Debit Card,Mumbai,3,34.5,Ali Express,10124,Y,N/A,2022-08-31 10:08:09
125,30,Emily,0,Smartphone,electronics,UK,Cryptocurrency,Manchester,5,2500.0,Argos,10125,Y,N/A,2023-03-07 02:50:39
126,14,Olivia,66,Textbook,books,UK,Debit Card,Manchester,1,21.0,Argos,10126,Y,N/A,2020-03-04 03:57:47
127,93,Quentin,3,Desktop PC,electronics,USA,Debit Card,New York,11,8800.0,Amazon,10127,Y,N/A,2021-03-24 07:29:48
128,84,Hugo,66,Textbook,books,UK,Debit Card,Manchester,3,63.0,Ali Express,10128,Y,N/A,2021-10-04 02:39:03
129,8,Irene,22,Hoodie,clothing,India,Debit Card,Mumbai,3,17.25,Ali Express,10129,Y,N/A,2020-01-15 11:09:53
130,58,None,87,!@$@,_-,USA,Debit Card,_-,,,Amazon,10130,Y,N/A,2020-05-21 18:00:15
131,32,Gina,89,Yoga Mat,sports,USA,Debit Card,New York,4,84.0,Ebay,10131,Y,N/A,2024-08-19 19:45:38
132,67,Paige,69,History Book,books,USA,Credit Card,LA,7,133.0,Amazon,10132,Y,N/A,2020-03-01 16:52:45
133,19,Tina,12,Router,electronics,India,PayPal,New Delhi,3,75.0,Ali Express,10133,Y,N/A,2024-01-01 12:46:40
134,46,Ulrich,32,Hat,clothing,India,PayPal,New Delhi,1,5.0,Ali Express,10134,Y,N/A,2023-02-27 15:53:47
135,20,Uma,68,Fantasy Book,books,India,PayPal,New Delhi,3,27.0,Ali Express,10135,N,Network error,2021-03-19 09:11:58
136,35,Jacob,78,DIY Guide,books,USA,Credit Card,LA,14,252.0,Amazon,10136,Y,N/A,2020-07-03 19:31:00
137,13,Noah,43,Air Conditioner,home appliances,UK,Debit Card,Manchester,1,76.0,Argos,10137,Y,N/A,2023-07-23 01:33:22
138,82,None,66,!@$@,_-,USA,Credit Card,!@$@,,,Amazon,10138,N,Card Expired,2023-10-25 16:33:45
139,98,Victor,72,Graphic Novel,books,India,PayPal,New Delhi,4,37.0,Ali Express,10139,Y,N/A,2020-12-10 09:45:41
140,22,Wendy,20,T-Shirt,clothing,India,PayPal,New Delhi,4,28.0,Ali Express,10140,Y,N/A,2023-03-30 09:47:17
141,24,Yara,47,Electric Kettle,home appliances,India,PayPal,Mumbai,1,16.75,Ali Express,10141,Y,N/A,2021-04-11 09:21:24
142,98,Victor,34,Scarf,clothing,USA,Credit Card,LA,2,60.0,Amazon,10142,Y,N/A,2024-03-18 17:06:39
143,61,Jenna,18,Printer,electronics,UK,Cryptocurrency,London,5,1500.0,Argos,10143,Y,N/A,2023-04-28 01:44:01
144,9,Jack,80,Soccer Ball,sports,UK,Debit Card,Manchester,3,102.0,Ali Express,10144,N,Insufficient Funds,2023-11-22 19:07:40
145,6,Grace,5,Bluetooth Headphones,electronics,India,PayPal,New Delhi,3,160.5,Ali Express,10145,Y,N/A,2024-03-21 12:23:05
146,90,Noah,33,Gloves,clothing,UK,Cryptocurrency,London,5,50.0,Argos,10146,Y,N/A,2022-01-12 01:25:08
147,57,Felicity,34,Scarf,clothing,USA,Credit Card,LA,3,90.0,Amazon,10147,N,Card Expired,2024-05-08 18:50:30
148,92,Patrick,51,Ceiling Fan,home appliances,UK,Debit Card,Manchester,4,880.0,Argos,10148,Y,N/A,2022-08-16 03:35:05
149,76,Zara,5,Bluetooth Headphones,electronics,Germany,Debit Card,Berlin,5,1070.0,Ebay,10149,Y,N/A,2020-11-20 04:09:22
150,67,Paige,1,Laptop,electronics,India,PayPal,New Delhi,2,350.0,Ali Express,10150,Y,N/A,2021-03-02 11:34:06
151,73,Null,49,_-,"",USA,Credit Card,!@$@,,,Amazon,10151,N,Network Issue,2023-09-07 11:15:22
152,2,Charlie,8,Digital Camera,electronics,UK,Cryptocurrency,Manchester,2,600.0,Argos,10152,Y,N/A,2024-05-19 00:52:13
153,95,Simon,41,Washing Machine,home appliances,India,PayPal,New Delhi,2,200.0,Ali Express,10153,Y,N/A,2023-10-28 12:10:19
154,43,...,80,-1,None,India,Debit Card,-1,,,Ali Express,10154,Y,N/A,2020-07-12 10:12:49
155,21,Victor,68,Fantasy Book,books,USA,Credit Card,LA,14,504.0,Amazon,10155,N,Incufficient Funds,2021-11-19 17:06:48
156,23,Xavier,56,Juicer,home appliances,UK,Debit Card,Manchester,2,314.0,Ali Express,10156,Y,N/A,2023-10-17 01:25:25
157,40,Ophelia,26,Dress,clothing,UK,Debit Card,Manchester,3,135.0,Argos,10157,Y,N/A,2023-12-11 03:15:08
158,27,Null,2,None,Null,UK,Debit Card,None,,,Ebay,10158,Y,N/A,2024-11-15 03:30:08
159,88,Liam,77,Health and Fitness Book,books,UK,Cryptocurrency,London,5,200.0,Argos,10159,Y,N/A,2022-12-02 08:49:00
160,10,Karen,59,Food Processor,home appliances,UK,Cryptocurrency,London,5,1050.0,Argos,10160,Y,N/A,2022-06-09 01:17:11
161,53,Bella,50,Rice Cooker,home appliances,USA,Debit Card,New York,5,350.0,Amazon,10161,Y,N/A,2024-01-12 19:31:09
162,56,Ethan,89,Yoga Mat,sports,UK,Debit Card,Manchester,2,42.0,Argos,10162,Y,N/A,2022-04-12 02:31:54
163,60,Ivan,46,Blender,home appliances,USA,Credit Card,LA,1,161.0,Amazon,10163,N,Incufficient Funds,2023-02-16 02:46:50
164,12,Mia,77,Health and Fitness Book,books,USA,Credit Card,LA,13,520.0,Amazon,10164,N,Network Issue,2022-05-08 19:56:53
165,80,Derek,89,Yoga Mat,sports,India,PayPal,New Delhi,2,10.5,Ali Express,10165,N,Card Expired,2024-02-07 12:39:19
166,75,Yasmine,16,Mouse,electronics,India,Debit Card,Mumbai,3,45.0,Ali Express,10166,Y,N/A,2020-12-30 20:58:27
167,50,Yvonne,9,Action Camera,electronics,India,PayPal,New Delhi,1,50.0,Ali Express,10167,Y,N/A,2022-06-09 09:50:30
168,49,Xena,28,Shorts,clothing,UK,Cryptocurrency,London,1,46.0,Argos,10168,Y,N/A,2023-05-22 02:50:07
169,43,Ruby,16,Mouse,electronics,India,Debit Card,Mumbai,1,15.0,Ali Express,10169,Y,N/A,2021-11-17 09:04:42
170,74,Xavier,63,Thriller Book,books,India,PayPal,New Delhi,4,21.0,Ali Express,10170,Y,N/A,2024-05-03 10:32:30
171,0,Alice,44,Vacuum Cleaner,home appliances,UK,Cryptocurrency,Manchester,5,240.0,Argos,10171,Y,N/A,2020-01-20 02:43:52
172,74,Xavier,32,Hat,clothing,USA,Credit Card,LA,4,80.0,Amazon,10172,Y,N/A,2020-09-03 07:57:30
173,92,Patrick,9,Action Camera,electronics,India,PayPal,Mumbai,2,100.0,Ali Express,10173,Y,N/A,2023-01-22 12:35:12
174,10,Karen,80,Soccer Ball,sports,India,Debit Card,Mumbai,1,8.5,Ali Express,10174,N,Network Issue,2024-08-22 10:02:06
175,57,Felicity,32,Hat,clothing,UK,Cryptocurrency,London,1,20.0,Argos,10175,Y,N/A,2023-10-26 02:49:36
176,95,Simon,44,Vacuum Cleaner,home appliances,India,PayPal,New Delhi,1,12.0,Ali Express,10176,N,Network Issue,2021-02-21 12:28:08
177,59,Hazel,65,Self-Help Book,books,UK,Debit Card,Manchester,4,192.0,Ebay,10177,Y,N/A,2021-01-23 01:42:31
178,10,Karen,62,Mystery Book,books,India,Debit Card,Mumbai,4,33.0,Ali Express,10178,N,Network error,2022-09-14 09:34:50
179,41,Peter,44,Vacuum Cleaner,home appliances,India,Debit Card,Mumbai,4,48.0,Ebay,10179,Y,N/A,2022-01-14 10:08:11
180,99,Whitney,51,Ceiling Fan,home appliances,UK,Cryptocurrency,London,3,660.0,Argos,10180,Y,N/A,2023-02-14 03:04:36
181,62,Kyle,43,Air Conditioner,home appliances,India,PayPal,New Delhi,3,57.0,Ali Express,10181,N,Network Issue,2024-07-12 09:54:22
182,61,Jenna,39,Pajamas,clothing,USA,Credit Card,LA,3,54.0,Amazon,10182,N,Network Issue,2024-01-21 16:25:50
183,99,Whitney,36,Tie,clothing,USA,Debit Card,New York,3,75.0,Ali Express,10183,N,Network Issue,2022-01-14 18:36:59
184,61,Jenna,17,Graphics Card,electronics,UK,Cryptocurrency,Manchester,4,1120.0,Argos,10184,Y,N/A,2024-08-09 06:32:06
185,12,Mia,79,Encyclopedia,books,UK,Cryptocurrency,London,2,36.0,Argos,10185,N,Network Issue,2022-06-03 00:08:11
186,81,Eliza,86,Hockey Stick,sports,UK,Cryptocurrency,London,2,32.0,Argos,10186,Y,N/A,2022-05-16 01:19:27
187,18,Steve,8,Digital Camera,electronics,Germany,Debit Card,Hamburg,7,2100.0,Ebay,10187,Y,N/A,2021-02-01 05:46:17
188,75,Yasmine,48,Coffee Maker,home appliances,USA,Debit Card,New York,6,270.0,Amazon,10188,Y,N/A,2020-04-17 19:59:36
189,83,Gemma,69,History Book,books,UK,Cryptocurrency,London,2,38.0,Argos,10189,Y,N/A,2023-03-11 00:14:46
190,98,"",12,Null,None,India,PayPal,!@$@,,,Ali Express,10190,N,Network error,2022-12-23 05:58:22
191,62,Kyle,41,Washing Machine,home appliances,UK,Cryptocurrency,London,1,400.0,Argos,10191,Y,N/A,2020-08-08 00:47:53
192,36,Kate,43,Air Conditioner,home appliances,USA,Credit Card,LA,6,456.0,Amazon,10192,N,Incufficient Funds,2023-03-19 18:58:54
193,67,Paige,36,Tie,clothing,India,PayPal,New Delhi,4,25.0,Ali Express,10193,N,Network error,2023-10-04 10:50:35
194,28,Chloe,8,Digital Camera,electronics,USA,Debit Card,New York,3,900.0,Ali Express,10194,Y,N/A,2023-08-12 18:06:21
195,44,Samuel,51,Ceiling Fan,home appliances,India,Debit Card,Mumbai,1,55.0,Ali Express,10195,N,Network Issue,2023-06-28 00:05:17
196,83,Gemma,75,Psychology Book,books,India,PayPal,New Delhi,3,26.25,Ali Express,10196,Y,N/A,2021-07-17 09:07:26
197,75,Yasmine,66,Textbook,books,USA,Credit Card,LA,14,294.0,Amazon,10197,Y,N/A,2024-01-17 16:00:32
198,68,Riley,59,Food Processor,home appliances,India,PayPal,New Delhi,2,105.0,Ali Express,10198,Y,N/A,2021-10-04 11:36:51
199,36,Kate,80,Soccer Ball,sports,India,PayPal,Mumbai,4,34.0,Ali Express,10199,Y,N/A,2023-08-06 10:50:57
200,37,Lucas,0,Smartphone,electronics,India,PayPal,New Delhi,1,125.0,Ali Express,10200,N,Network Issue,2023-06-15 09:11:29
201,65,Nina,89,Yoga Mat,sports,India,Debit Card,Mumbai,3,15.75,Ebay,10201,N,Insufficient Funds,2021-04-21 12:57:48
202,49,Xena,2,Tablet,electronics,UK,Cryptocurrency,London,5,2750.0,Argos,10202,Y,N/A,2021-08-15 19:03:59
203,57,Felicity,26,Dress,clothing,India,Debit Card,Mumbai,4,45.0,Ali Express,10203,Y,N/A,2021-10-14 10:10:08
